Category,Province,Values in 2022 (100 million yuan),Values in 2021 (100 million yuan),Values in 2020 (100 million yuan),Values in 2019 (100 million yuan),Values in 2018 (100 million yuan),Values in 2017 (100 million yuan),Values in 2016 (100 million yuan),Values in 2015 (100 million yuan),Values in 2014 (100 million yuan),Values in 2013 (100 million yuan),Values in 2012 (100 million yuan),Values in 2011 (100 million yuan),Values in 2010 (100 million yuan),Values in 2009 (100 million yuan),Values in 2008 (100 million yuan),Values in 2007 (100 million yuan),Values in 2006 (100 million yuan),Values in 2005 (100 million yuan),Values in 2004 (100 million yuan),Values in 2003 (100 million yuan),Values in 2002 (100 million yuan),Values in 2001 (100 million yuan),Values in 2000 (100 million yuan),Values in 1999 (100 million yuan),Values in 1998 (100 million yuan),Values in 1997 (100 million yuan)
medical_insurance,Fujian,734.40 ,696.20 ,614.44 ,656.65 ,656.65 ,465.07 ,421.51 ,398.35 ,374.61 ,353.23 ,337.48 ,300.35 ,266.47 ,235.98 ,157.31 ,138.90 ,127.70 ,108.77 ,78.49 ,58.49 ,52.58 ,47.07 ,41.82 ,36.73 ,33.80 ,30.10 
medical_insurance,Jiangxi,555.50 ,506.40 ,429.14 ,447.40 ,447.40 ,465.58 ,425.34 ,391.08 ,353.48 ,339.71 ,310.84 ,270.29 ,200.71 ,167.59 ,104.57 ,86.92 ,76.43 ,67.11 ,28.82 ,28.82 ,24.04 ,22.33 ,20.44 ,19.09 ,17.71 ,16.04 
medical_insurance,Shandong,1276.20 ,1258.90 ,1102.45 ,1173.68 ,1173.68 ,1665.39 ,1440.16 ,1301.36 ,1112.19 ,1187.26 ,1059.47 ,881.58 ,670.97 ,594.50 ,702.04 ,609.68 ,530.36 ,441.26 ,153.81 ,153.81 ,149.27 ,133.64 ,111.41 ,100.72 ,87.45 ,74.55 
medical_insurance,Henan,1066.50 ,1114.20 ,1068.89 ,1150.16 ,1150.16 ,1314.65 ,1110.87 ,1030.80 ,998.35 ,998.47 ,898.36 ,797.99 ,605.23 ,526.51 ,611.09 ,493.40 ,377.94 ,302.23 ,97.91 ,97.91 ,81.15 ,71.84 ,67.37 ,58.58 ,53.93 ,52.34 
medical_insurance,Hubei,1186.50 ,1154.60 ,916.35 ,1248.46 ,1248.46 ,814.18 ,748.61 ,692.21 ,635.32 ,579.73 ,512.02 ,446.52 ,385.11 ,337.81 ,271.48 ,221.07 ,179.51 ,155.45 ,102.12 ,82.12 ,81.59 ,79.08 ,71.24 ,65.23 ,58.00 ,50.79 
medical_insurance,Hunan,951.50 ,913.50 ,827.40 ,922.40 ,922.40 ,705.38 ,666.12 ,603.77 ,545.69 ,503.65 ,460.70 ,406.87 ,354.91 ,304.93 ,215.69 ,184.02 ,151.39 ,127.60 ,113.69 ,113.69 ,95.87 ,85.60 ,77.11 ,61.50 ,48.19 ,40.62 
medical_insurance,Guangdong,1765.20 ,1742.70 ,1605.14 ,1878.20 ,1878.20 ,1646.85 ,1569.37 ,1447.48 ,1333.81 ,1391.84 ,1308.40 ,1192.28 ,1074.85 ,945.76 ,845.56 ,716.18 ,613.68 ,520.63 ,320.55 ,158.02 ,136.06 ,118.69 ,94.36 ,79.03 ,71.44 ,65.06 
medical_insurance,Guangxi,385.90 ,379.80 ,338.80 ,376.87 ,376.87 ,436.13 ,398.17 ,373.03 ,364.15 ,399.52 ,364.46 ,307.88 ,241.34 ,208.00 ,188.59 ,162.35 ,129.18 ,111.82 ,80.10 ,47.10 ,47.29 ,38.99 ,37.33 ,34.58 ,25.59 ,22.32 
medical_insurance,Hainan,231.80 ,256.70 ,221.81 ,269.18 ,269.18 ,221.44 ,191.96 ,174.14 ,154.66 ,110.33 ,98.96 ,89.75 ,69.45 ,60.22 ,42.01 ,35.64 ,30.67 ,27.55 ,15.62 ,6.62 ,6.12 ,5.54 ,5.14 ,4.50 ,4.22 ,4.25 
medical_insurance,Chongqing,567.70 ,550.30 ,488.91 ,501.98 ,501.98 ,424.78 ,391.19 ,355.76 ,321.64 ,229.79 ,189.98 ,166.31 ,142.11 ,132.88 ,111.63 ,91.85 ,77.24 ,66.56 ,33.40 ,33.40 ,30.37 ,27.91 ,23.40 ,20.53 ,18.42 ,16.58 
medical_insurance,Sichuan,1180.10 ,1196.20 ,1064.08 ,1149.18 ,1149.18 ,1023.46 ,941.28 ,859.49 ,751.28 ,685.84 ,621.72 ,562.63 ,478.42 ,405.45 ,360.20 ,309.75 ,259.18 ,221.42 ,78.25 ,78.25 ,72.35 ,64.79 ,56.58 ,48.41 ,43.01 ,37.66 
medical_insurance,Guizhou,449.40 ,461.10 ,397.33 ,417.18 ,417.18 ,439.19 ,400.93 ,360.38 ,322.71 ,294.86 ,266.58 ,224.40 ,180.73 ,153.41 ,82.99 ,64.19 ,45.53 ,39.16 ,36.36 ,28.36 ,24.29 ,23.39 ,17.88 ,15.08 ,13.80 ,10.75 
medical_insurance,Yunnan,653.10 ,590.20 ,534.89 ,599.45 ,599.45 ,523.58 ,478.34 ,437.79 ,413.41 ,373.24 ,330.67 ,278.20 ,190.34 ,162.10 ,118.88 ,97.47 ,80.87 ,74.10 ,54.36 ,54.36 ,47.83 ,40.14 ,35.50 ,32.93 ,29.20 ,22.95 
medical_insurance,Tibet,26.10 ,33.70 ,36.05 ,41.90 ,41.90 ,35.27 ,33.07 ,32.08 ,28.97 ,25.71 ,23.78 ,17.75 ,15.75 ,14.70 ,17.87 ,19.55 ,15.34 ,10.96 ,4.34 ,4.34 ,5.76 ,4.67 ,3.46 ,3.30 ,2.95 ,2.10 
medical_insurance,Shaanxi,400.80 ,399.80 ,376.25 ,428.31 ,428.31 ,497.62 ,457.63 ,432.02 ,365.85 ,339.51 ,312.27 ,266.92 ,218.16 ,175.01 ,127.62 ,106.64 ,87.11 ,74.67 ,62.91 ,42.91 ,31.20 ,27.42 ,24.55 ,23.34 ,22.08 ,19.19 
medical_insurance,Gansu,155.00 ,160.60 ,144.69 ,158.27 ,158.27 ,229.91 ,213.70 ,196.37 ,178.23 ,159.64 ,141.68 ,123.61 ,97.40 ,88.52 ,77.21 ,68.21 ,59.56 ,53.53 ,16.56 ,16.56 ,14.37 ,13.09 ,11.43 ,9.98 ,8.81 ,7.51 
medical_insurance,Qinghai,34.60 ,45.00 ,43.08 ,50.75 ,50.75 ,48.96 ,46.17 ,43.27 ,37.30 ,23.47 ,21.39 ,18.93 ,16.30 ,14.54 ,13.87 ,12.35 ,11.13 ,9.38 ,6.40 ,6.40 ,5.72 ,5.03 ,4.07 ,3.58 ,3.14 ,2.86 
medical_insurance,Ningxia,54.10 ,54.50 ,50.13 ,53.72 ,53.72 ,58.66 ,54.98 ,51.31 ,47.74 ,46.07 ,42.67 ,37.15 ,31.00 ,25.59 ,19.06 ,16.11 ,13.04 ,11.33 ,8.04 ,6.04 ,5.80 ,4.81 ,3.77 ,3.31 ,3.03 ,2.56 
medical_insurance,Xinjiang,135.90 ,157.70 ,142.89 ,181.89 ,181.89 ,180.03 ,160.40 ,155.62 ,142.85 ,120.94 ,108.39 ,77.87 ,68.06 ,62.25 ,63.24 ,57.69 ,51.77 ,45.70 ,36.04 ,26.04 ,23.44 ,21.58 ,14.08 ,14.12 ,11.82 ,10.27 
financial,Beijing,8196.70 ,7603.70 ,7187.97 ,6544.77 ,6544.77 ,4655.37 ,4270.82 ,3926.28 ,3357.71 ,2822.07 ,2536.91 ,2215.41 ,1863.61 ,1603.63 ,1493.58 ,1286.28 ,974.06 ,836.62 ,598.57 ,537.32 ,469.44 ,441.22 ,378.89 ,316.37 ,246.87 ,246.87 
financial,Tianjin,2197.30 ,2153.20 ,2056.73 ,1907.86 ,1907.86 ,1951.75 ,1793.57 ,1603.23 ,1422.28 ,1202.04 ,1001.59 ,756.50 ,572.99 ,461.20 ,360.55 ,288.17 ,186.87 ,159.24 ,129.72 ,107.02 ,73.08 ,63.38 ,55.80 ,109.32 ,120.17 ,120.17 
financial,Hebei,2931.80 ,2724.40 ,2599.55 ,2416.13 ,2416.13 ,2053.44 ,1731.23 ,1480.92 ,1347.58 ,1033.55 ,913.66 ,746.01 ,615.42 ,525.67 ,419.01 ,353.22 ,279.72 ,211.17 ,231.59 ,205.04 ,184.25 ,171.62 ,183.77 ,199.40 ,202.98 ,202.98 
financial,Shanxi,1359.00 ,1284.00 ,1207.68 ,1174.01 ,1174.01 ,1320.05 ,1207.35 ,1140.54 ,897.26 ,736.27 ,639.61 ,519.32 ,448.30 ,361.64 ,189.76 ,160.31 ,138.26 ,122.09 ,80.55 ,88.82 ,95.50 ,110.00 ,103.59 ,95.79 ,101.59 ,101.59 
financial,Inner Mongolia,981.70 ,898.40 ,888.90 ,874.88 ,874.88 ,1099.85 ,992.14 ,829.20 ,724.16 ,563.00 ,502.01 ,447.46 ,346.44 ,291.10 ,166.85 ,137.81 ,87.81 ,67.52 ,30.57 ,27.84 ,26.62 ,25.40 ,24.27 ,23.37 ,27.58 ,27.58 
financial,Liaoning,2138.30 ,2103.50 ,2103.11 ,1985.18 ,1985.18 ,1964.58 ,1829.22 ,1869.46 ,1482.17 ,1136.10 ,969.37 ,755.57 ,639.27 ,560.20 ,345.62 ,298.73 ,250.13 ,212.72 ,159.71 ,145.38 ,137.18 ,131.32 ,127.91 ,125.12 ,164.40 ,164.40 
financial,Jilin,1000.40 ,964.30 ,901.24 ,837.89 ,837.89 ,709.64 ,659.55 ,565.27 ,464.96 ,303.02 ,244.63 ,207.65 ,190.12 ,180.83 ,147.20 ,126.03 ,100.75 ,83.63 ,21.52 ,20.40 ,23.63 ,24.17 ,62.15 ,65.44 ,52.49 ,52.49 
financial,Heilongjiang,1127.20 ,1112.90 ,1052.94 ,995.36 ,995.36 ,932.35 ,900.84 ,847.66 ,707.47 ,551.16 ,485.11 ,350.82 ,288.19 ,227.54 ,155.28 ,135.70 ,67.74 ,33.48 ,38.96 ,37.46 ,35.39 ,33.74 ,32.04 ,117.75 ,109.18 ,109.18 
financial,Shanghai,8626.30 ,7973.30 ,7166.26 ,6600.60 ,6600.60 ,5330.54 ,4765.83 ,4162.70 ,3400.41 ,2823.29 ,2450.36 ,2277.40 ,1950.96 ,1804.28 ,1442.60 ,1209.08 ,825.20 ,675.12 ,740.96 ,624.74 ,584.67 ,619.99 ,685.03 ,577.56 ,459.63 ,459.63 
financial,Jiangsu,9689.90 ,9164.00 ,8405.79 ,7529.61 ,7177.40 ,6783.87 ,6011.13 ,5302.93 ,4723.69 ,3703.69 ,3136.51 ,2600.11 ,2105.92 ,1596.98 ,1483.23 ,1202.10 ,723.79 ,562.42 ,632.88 ,537.77 ,487.57 ,450.64 ,430.68 ,392.18 ,376.04 ,376.04 
financial,Zhejiang,6690.00 ,6159.10 ,5590.60 ,5004.37 ,4652.16 ,3533.05 ,3050.61 ,2922.93 ,2767.44 ,2965.67 ,2762.24 ,2730.29 ,2326.58 ,1899.33 ,1405.20 ,1122.86 ,846.63 ,674.77 ,479.93 ,416.97 ,323.26 ,243.94 ,209.25 ,190.91 ,157.94 ,157.94 
financial,Anhui,2935.10 ,2779.50 ,2553.94 ,2345.64 ,1993.43 ,1663.59 ,1447.02 ,1241.87 ,1046.67 ,735.44 ,617.62 ,503.85 ,396.17 ,359.60 ,183.18 ,154.73 ,130.25 ,112.86 ,140.53 ,126.31 ,114.33 ,106.50 ,100.00 ,89.24 ,83.42 ,83.42 
financial,Fujian,3889.80 ,3623.10 ,3418.36 ,2875.35 ,2523.14 ,2055.53 ,1866.17 ,1681.33 ,1449.82 ,1174.59 ,1015.37 ,862.41 ,767.58 ,612.20 ,468.86 ,364.32 ,229.65 ,179.14 ,292.50 ,252.01 ,227.94 ,201.52 ,187.85 ,175.70 ,157.32 ,157.32 
financial,Jiangxi,2140.50 ,1975.00 ,1808.63 ,1557.50 ,1205.29 ,1107.12 ,1056.30 ,897.65 ,739.70 ,494.78 ,413.07 ,357.44 ,241.49 ,165.10 ,98.06 ,85.72 ,76.13 ,69.55 ,88.39 ,82.15 ,91.93 ,92.70 ,98.84 ,101.15 ,97.40 ,97.40 
financial,Shandong,5203.10 ,4938.60 ,4567.36 ,4177.35 ,3825.14 ,3651.56 ,3364.56 ,2994.66 ,2709.65 ,2265.50 ,1936.11 ,1640.41 ,1361.45 ,1044.90 ,1020.38 ,841.86 ,576.69 ,467.59 ,557.95 ,514.54 ,457.20 ,465.38 ,450.94 ,435.96 ,411.89 ,411.89 
financial,Henan,3301.30 ,3101.60 ,2955.87 ,2793.94 ,2441.73 ,2509.19 ,2256.61 ,1991.11 ,1509.20 ,1181.77 ,1013.60 ,868.20 ,697.68 ,499.92 ,345.36 ,302.31 ,219.72 ,181.74 ,137.49 ,135.32 ,132.50 ,128.13 ,125.30 ,140.33 ,132.57 ,132.57 
financial,Hubei,3639.70 ,3432.70 ,3027.37 ,2783.57 ,2431.36 ,2640.86 ,2318.87 ,1853.12 ,1372.61 ,1073.89 ,870.36 ,674.57 ,561.27 ,479.11 ,393.05 ,337.27 ,174.99 ,127.32 ,313.60 ,283.37 ,250.35 ,232.78 ,205.99 ,193.68 ,161.84 ,161.84 
financial,Hunan,2421.50 ,2288.00 ,2126.44 ,1960.07 ,1607.86 ,1610.31 ,1272.71 ,1104.18 ,950.04 ,706.92 ,579.76 ,501.09 ,463.16 ,402.57 ,245.67 ,211.74 ,184.70 ,123.31 ,171.83 ,157.40 ,145.63 ,143.16 ,140.70 ,129.76 ,119.22 ,119.22 
financial,Guangdong,11825.80 ,11058.10 ,9906.99 ,8881.41 ,8529.20 ,6853.01 ,6127.05 ,5757.08 ,4447.43 ,3817.42 ,3171.96 ,2916.13 ,2658.76 ,2283.29 ,2117.35 ,1798.22 ,932.39 ,673.65 ,461.80 ,418.57 ,398.26 ,369.20 ,371.53 ,283.47 ,271.07 ,271.07 
financial,Guangxi,1834.70 ,1709.20 ,1598.00 ,1469.45 ,1117.24 ,1273.40 ,1136.85 ,1018.01 ,876.47 ,706.91 ,573.05 ,445.37 ,384.53 ,336.82 ,181.32 ,150.35 ,110.20 ,90.83 ,66.43 ,56.15 ,32.20 ,25.76 ,20.42 ,16.75 ,52.06 ,52.06 
financial,Hainan,438.70 ,422.80 ,397.91 ,392.23 ,358.02 ,308.94 ,281.90 ,242.82 ,210.63 ,151.64 ,130.69 ,105.24 ,78.12 ,65.73 ,26.74 ,22.44 ,13.76 ,12.44 ,40.84 ,37.76 ,35.03 ,34.12 ,33.56 ,31.08 ,29.20 ,29.20 
financial,Chongqing,2491.00 ,2459.80 ,2212.80 ,2087.95 ,1735.74 ,1813.73 ,1642.59 ,1410.18 ,1225.27 ,1068.35 ,915.65 ,704.66 ,496.56 ,389.97 ,201.30 ,122.54 ,106.56 ,92.98 ,93.45 ,85.00 ,78.25 ,73.36 ,68.62 ,69.79 ,68.31 ,68.31 
financial,Sichuan,3840.10 ,3618.70 ,3375.75 ,3121.87 ,2769.66 ,3203.27 ,2729.45 ,2202.23 ,1828.09 ,1581.47 ,1303.56 ,868.15 ,654.70 ,524.63 ,459.29 ,359.11 ,299.49 ,262.26 ,262.31 ,229.25 ,200.48 ,186.34 ,170.46 ,155.32 ,204.49 ,204.49 
financial,Guizhou,1193.50 ,1157.90 ,1141.71 ,1060.02 ,1060.02 ,787.88 ,689.40 ,607.11 ,491.65 ,433.53 ,365.87 ,297.27 ,231.51 ,194.44 ,131.20 ,109.73 ,83.21 ,71.07 ,49.87 ,41.58 ,37.49 ,34.53 ,33.12 ,30.86 ,40.86 ,40.86 
financial,Yunnan,1594.60 ,1517.90 ,1500.41 ,1406.08 ,1406.08 ,1194.67 ,1092.60 ,981.85 ,860.98 ,693.93 ,541.18 ,456.23 ,375.08 ,351.74 ,217.79 ,169.27 ,144.03 ,131.66 ,94.02 ,86.02 ,84.38 ,72.45 ,69.00 ,68.96 ,88.86 ,88.86 
financial,Tibet,215.40 ,213.50 ,138.56 ,121.89 ,121.89 ,110.20 ,93.05 ,68.05 ,55.58 ,43.05 ,32.04 ,31.70 ,27.08 ,23.17 ,7.45 ,6.21 ,4.30 ,6.70 ,15.62 ,4.69 ,2.78 ,3.22 ,2.45 ,2.13 ,0.67 ,0.67 
financial,Shaanxi,2109.70 ,1986.20 ,1820.90 ,1708.33 ,1708.33 ,1300.10 ,1181.54 ,1082.37 ,948.93 ,674.88 ,551.20 ,432.11 ,384.75 ,336.21 ,208.84 ,175.50 ,114.67 ,97.04 ,41.76 ,40.81 ,31.90 ,31.15 ,29.51 ,38.56 ,76.57 ,76.57 
financial,Gansu,925.10 ,911.60 ,897.52 ,862.33 ,862.33 ,553.59 ,507.02 ,443.12 ,364.84 ,234.18 ,184.43 ,145.05 ,100.54 ,88.27 ,72.49 ,61.60 ,50.51 ,44.73 ,65.26 ,61.82 ,59.20 ,57.53 ,55.87 ,54.08 ,41.64 ,41.64 
financial,Qinghai,286.20 ,275.00 ,263.67 ,262.96 ,262.96 ,274.60 ,245.81 ,220.87 ,175.21 ,94.37 ,83.73 ,62.56 ,54.53 ,45.63 ,30.47 ,25.91 ,22.67 ,20.36 ,17.71 ,16.86 ,15.80 ,15.27 ,16.20 ,17.95 ,18.37 ,18.37 
financial,Ningxia,352.20 ,331.40 ,321.07 ,302.01 ,302.01 ,314.69 ,284.11 ,256.38 ,230.16 ,199.81 ,167.48 ,134.18 ,97.87 ,75.54 ,57.25 ,47.81 ,35.93 ,32.00 ,17.00 ,15.73 ,    14.1 8,14.72 ,15.49 ,15.32 ,17.85 ,17.85 
financial,Xinjiang,1216.90 ,1141.70 ,1086.45 ,1015.31 ,1015.31 ,623.53 ,573.70 ,563.80 ,536.94 ,420.27 ,360.40 ,288.77 ,225.20 ,198.87 ,167.26 ,149.22 ,99.25 ,80.34 ,70.87 ,65.43 ,52.57 ,48.88 ,42.23 ,48.50 ,49.19 ,49.19 
real estate,Beijing,2594.50 ,2605.50 ,2644.23 ,2620.79 ,2620.79 ,1766.20 ,1672.68 ,1438.43 ,1329.20 ,1339.52 ,1244.17 ,1074.93 ,1006.52 ,1062.47 ,610.84 ,644.24 ,559.82 ,455.31 ,228.44 ,190.55 ,163.12 ,111.03 ,77.37 ,69.45 ,277.64 ,41.24 
real estate,Tianjin,1020.80 ,1083.80 ,1302.51 ,1238.45 ,1238.45 ,783.27 ,805.92 ,618.25 ,550.86 ,519.37 ,449.65 ,411.46 ,377.59 ,308.73 ,202.38 ,189.42 ,160.72 ,128.77 ,146.51 ,125.43 ,97.66 ,85.61 ,69.35 ,47.23 ,114.88 ,34.25 
real estate,Hebei,2403.10 ,2486.30 ,2642.99 ,2310.00 ,2310.00 ,1690.31 ,1488.42 ,1313.62 ,1119.78 ,1041.28 ,982.05 ,918.02 ,697.79 ,612.40 ,435.87 ,409.64 ,354.60 ,291.51 ,154.38 ,136.85 ,115.16 ,106.80 ,99.53 ,85.71 ,204.22 ,68.31 
real estate,Shanxi,1165.50 ,1231.20 ,1183.77 ,1081.74 ,1081.74 ,798.73 ,698.53 ,639.07 ,598.07 ,329.80 ,301.88 ,224.91 ,192.00 ,173.31 ,168.99 ,135.89 ,118.06 ,106.48 ,42.28 ,37.45 ,33.50 ,31.00 ,29.39 ,26.06 ,96.84 ,12.38 
real estate,Inner Mongolia,830.30 ,860.50 ,921.31 ,892.20 ,892.20 ,458.59 ,453.80 ,441.37 ,442.95 ,414.59 ,385.22 ,384.76 ,309.25 ,286.65 ,167.58 ,148.04 ,122.32 ,98.32 ,27.78 ,24.92 ,22.79 ,21.02 ,17.63 ,14.75 ,22.75 ,10.75 
real estate,Liaoning,1501.10 ,1641.10 ,1583.61 ,1471.41 ,1471.41 ,1132.18 ,1037.33 ,1169.67 ,1145.70 ,1134.49 ,1050.03 ,876.12 ,733.37 ,605.27 ,416.21 ,360.81 ,294.70 ,243.99 ,206.13 ,188.49 ,130.94 ,114.96 ,103.56 ,89.62 ,123.78 ,74.78 
real estate,Jilin,706.70 ,798.20 ,809.37 ,778.83 ,778.83 ,525.58 ,476.58 ,436.06 ,432.85 ,266.60 ,240.86 ,238.61 ,212.32 ,200.14 ,181.35 ,153.03 ,131.01 ,112.29 ,67.32 ,66.09 ,60.02 ,49.62 ,45.83 ,34.08 ,62.26 ,23.82 
real estate,Heilongjiang,695.10 ,761.10 ,757.03 ,671.93 ,671.93 ,656.34 ,616.90 ,597.22 ,581.28 ,553.11 ,522.27 ,465.61 ,370.79 ,301.18 ,249.86 ,226.60 ,195.24 ,163.47 ,134.60 ,123.24 ,115.89 ,108.16 ,104.70 ,57.61 ,115.32 ,45.56 
real estate,Shanghai,3619.20 ,3564.50 ,3393.40 ,3300.72 ,3300.72 ,1873.05 ,2125.62 ,1699.78 ,1530.96 ,1343.77 ,1147.04 ,1019.68 ,1002.50 ,1237.56 ,747.00 ,806.79 ,688.10 ,676.12 ,644.12 ,463.93 ,373.63 ,316.85 ,251.70 ,210.53 ,512.21 ,147.51 
real estate,Jiangsu,7932.60 ,8943.30 ,8944.94 ,8057.76 ,8057.76 ,5016.54 ,4292.79 ,3755.45 ,3564.44 ,3436.65 ,2992.82 ,2747.89 ,2600.95 ,2025.39 ,1220.98 ,1132.32 ,914.78 ,731.01 ,659.40 ,549.50 ,456.56 ,393.75 ,351.92 ,314.86 ,381.81 ,234.28 
real estate,Zhejiang,5019.70 ,5303.80 ,5053.47 ,4356.87 ,4356.87 ,3222.54 ,2607.00 ,2351.42 ,2166.86 ,2190.03 ,1927.93 ,1677.13 ,1618.17 ,1316.83 ,1082.98 ,1004.62 ,807.52 ,695.82 ,288.29 ,238.50 ,186.83 ,146.31 ,116.90 ,92.87 ,172.19 ,67.51 
real estate,Anhui,2937.10 ,3300.20 ,3100.88 ,2870.49 ,2870.49 ,1390.48 ,1124.07 ,870.07 ,807.33 ,763.56 ,665.76 ,634.92 ,532.17 ,497.94 ,342.72 ,294.99 ,247.76 ,219.19 ,193.35 ,166.66 ,142.31 ,126.44 ,114.29 ,93.66 ,85.10 ,65.13 
real estate,Fujian,2674.90 ,2813.90 ,2904.80 ,2689.62 ,2689.62 ,1768.48 ,1269.67 ,1077.88 ,1090.22 ,1216.76 ,1039.71 ,911.16 ,679.03 ,656.61 ,466.75 ,481.33 ,415.10 ,321.74 ,176.70 ,158.21 ,142.17 ,128.52 ,118.02 ,103.95 ,172.48 ,81.42 
real estate,Jiangxi,2117.40 ,2176.50 ,1925.09 ,1895.01 ,1895.01 ,890.55 ,745.89 ,548.26 ,522.81 ,500.57 ,421.83 ,402.51 ,340.56 ,305.90 ,190.65 ,189.35 ,171.06 ,171.88 ,174.74 ,138.02 ,125.27 ,114.84 ,89.76 ,76.31 ,100.50 ,53.11 
real estate,Shandong,4406.70 ,4524.50 ,4298.02 ,4348.67 ,4348.67 ,3091.37 ,2773.29 ,2592.67 ,2526.16 ,2237.46 ,1984.49 ,1838.14 ,1622.15 ,1329.59 ,1043.92 ,935.55 ,779.70 ,653.66 ,563.65 ,490.88 ,429.32 ,376.26 ,309.99 ,283.31 ,429.88 ,239.37 
real estate,Henan,3631.00 ,3719.70 ,3532.67 ,3419.58 ,3419.58 ,2222.21 ,1890.01 ,1657.04 ,1541.76 ,1165.07 ,1040.70 ,987.00 ,773.23 ,622.98 ,484.11 ,447.44 ,348.70 ,298.19 ,217.06 ,201.17 ,185.60 ,171.71 ,154.71 ,137.12 ,139.76 ,118.11 
real estate,Hubei,3909.40 ,4336.20 ,3308.51 ,3680.34 ,3680.34 ,1642.98 ,1291.35 ,1136.72 ,1062.71 ,797.19 ,692.82 ,634.67 ,564.41 ,546.11 ,421.33 ,379.65 ,264.73 ,217.17 ,169.32 ,148.95 ,124.23 ,106.46 ,87.75 ,76.23 ,180.14 ,64.43 
real estate,Hunan,2822.00 ,2945.40 ,2902.37 ,2777.26 ,2777.26 ,1019.35 ,879.62 ,751.81 ,673.38 ,636.26 ,568.52 ,518.04 ,464.21 ,400.11 ,387.08 ,332.62 ,268.52 ,234.93 ,154.66 ,137.71 ,125.46 ,108.00 ,97.14 ,86.98 ,125.62 ,65.75 
real estate,Guangdong,10450.60 ,10804.70 ,10625.65 ,9223.62 ,9223.62 ,7635.96 ,6229.50 ,5117.95 ,4486.92 ,4207.46 ,3643.87 ,3321.31 ,2813.95 ,2470.63 ,2209.78 ,2141.47 ,1784.68 ,1456.14 ,824.66 ,731.57 ,633.87 ,559.66 ,515.52 ,426.66 ,268.20 ,303.36 
real estate,Guangxi,1899.30 ,1984.20 ,1923.65 ,1798.82 ,1798.82 ,885.48 ,749.04 ,657.30 ,593.01 ,520.51 ,489.43 ,465.68 ,405.79 ,348.98 ,280.60 ,239.45 ,192.20 ,164.26 ,95.69 ,81.67 ,69.43 ,60.83 ,46.12 ,42.64 ,31.22 ,31.31 
real estate,Hainan,571.00 ,589.00 ,526.02 ,497.86 ,497.86 ,434.90 ,349.95 ,299.69 ,295.56 ,288.54 ,238.11 ,208.71 ,188.33 ,121.76 ,57.31 ,45.78 ,34.41 ,33.61 ,14.56 ,12.45 ,11.07 ,10.12 ,9.32 ,8.54 ,30.14 ,7.17 
real estate,Chongqing,1668.60 ,1658.40 ,1577.55 ,1473.04 ,1473.04 ,1048.25 ,926.19 ,847.72 ,817.04 ,728.83 ,620.17 ,396.28 ,266.38 ,229.09 ,191.21 ,196.06 ,158.20 ,143.88 ,98.42 ,87.79 ,70.90 ,60.47 ,51.92 ,40.68 ,73.84 ,26.86 
